tweet_links,users_retweeted,profile_urls,quotes
https://twitter.com/bbcbangla/status/1594677860287254529,𝐒𝐡𝐢𝐩𝐥𝐮 𝐒𝐚𝐝𝐢𝐤,https://twitter.com/MihaShiplo,এইটা কাতার বাংলাদেশ না এইখানে মুসলিম জাতী থাকে #বাংলাদেশের মতো অমানুষ থাকে না
https://twitter.com/bbcbangla/status/1594605845001773058,Beauti Akter Meem,https://twitter.com/Meem67632232,বাড়াও সব কিছুর দাম বাড়াইতেই থাক
https://twitter.com/bbcbangla/status/1594587710500610049,Tanvirhasan Tarek,https://twitter.com/TanvirhasanTar6,ytjhygyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
https://twitter.com/bbcbangla/status/1594260760904941569,AL ARAF,https://twitter.com/ALARAF85547708,football
https://twitter.com/bbcbangla/status/1594260760904941569,julia,https://twitter.com/julia81896802,QATAR  THE PRIDE OF OUR MUSLIM COUNTRY AND ASIAN UNION !!!
https://twitter.com/bbcbangla/status/1594260760904941569,Shahidullah Kaysar Ayon,https://twitter.com/kaysar_ayon,QATAR  THE PRIDE OF OUR MUSLIM COUNTRY AND ASIAN UNION !!!
https://twitter.com/bbcbangla/status/1593130820642164738,Md mostafa kaji Md mostafa kaji,https://twitter.com/kaji_mostafa,
https://twitter.com/bbcbangla/status/1592489406111584257,MOS GAMING BD,https://twitter.com/mos_gaming_bd,"If you want to watch the World Cup game in  Qatar, join our page.
***https://cutt.ly/oMn1N1K
#news #Katar2022 #World #gamer"
https://twitter.com/bbcbangla/status/1592425792918937600,hossain imam,https://twitter.com/imam69798,Hoo
https://twitter.com/bbcbangla/status/1592425792918937600,Mustafizur Rahman,https://twitter.com/Mustafi40646087,হাস্যকর
https://twitter.com/bbcbangla/status/1592425792918937600,MD MOMINUR RAHMAN,https://twitter.com/MdMominur276,আপনার আর দেশের মানুষ এর কথা ভাবতে হবে না গদিটা ছেরেদিন
https://twitter.com/bbcbangla/status/1592425792918937600,Movie Zone,https://twitter.com/Moviezone00,https://redblix-b6c85.web.app/index.html
https://twitter.com/bbcbangla/status/1592425792918937600,Dr. Khalilur Rahman,https://twitter.com/bdootottawa,#Stop the Russia-Ukraine War. Developing countries are victims & are indirectly sanctioned by this senseless war. It is more important to ensure smooth transportation of food grains & agro-products & finance climate change agenda rather than fuelling the war.
https://twitter.com/bbcbangla/status/1592425792918937600,Mukul Hossain,https://twitter.com/MukulHo80125455,Ninduker Kothai Kaan na diye aponi Aponar agenda bastobayon korun.
https://twitter.com/bbcbangla/status/1592425792918937600,Abdul Mottaleb,https://twitter.com/AbdulMo66252840,Ninduker Kothai Kaan na diye aponi Aponar agenda bastobayon korun.
https://twitter.com/bbcbangla/status/1592425792918937600,arefin,https://twitter.com/arefin15,উনি ব্যাপক উল্টাচ্ছেন।
https://twitter.com/bbcbangla/status/1592425792918937600,Saikot,https://twitter.com/saikot34284159,"আগে কি এগুলো কিনতে হতো  না??? 
যা বলেন একটু বুঝে শুনে বলেন।"
https://twitter.com/bbcbangla/status/1591989646858375168,Khan Imran Hasan,https://twitter.com/imran0alien,"যৌথ #পরিবার ভেঙ্গে একক পরিবার হয়ে এখন সিঙ্গেল ফাদার, মাদারে রুপ নিচ্ছে। পরিবার প্রথার বিবর্তন..
একটা সময় পরিবার প্রথা ছিল না, প্রয়োজনে সৃষ্টি, আবার হয়তো ভবিষ্যতে বিলোপ হবে(?), কিংবা নতুন একটি ধারার উদ্ভব ঘটবে। পরিবর্তন যে হবে এটা সুনিশ্চিত... রূপটা কি হবে তার সময়ই বলে দেবে।"
https://twitter.com/bbcbangla/status/1591981584286371840,ভোরের পাখি!طائر الصباح,https://twitter.com/Mkhussain19,"৩৯ ছিল ৬ মাসের ব্যবধানে ২৬ এসে দাঁড়িয়েছে,
বাকি ৬ মাসে কি হবে আল্লাহ ভালো জানেন।"
