tweet_links,commenters,profile_urls,comments,comment_times
https://twitter.com/bbcbangla/status/1594962185029320705,Md Shaha Kamal,https://twitter.com/md_shaha_kamal,,2022-11-22T07:56:34.000Z
https://twitter.com/bbcbangla/status/1594895977957437441,Sania Roma,https://twitter.com/sania_roma,খুবই মর্মান্তিক ঘটনা।,2022-11-22T05:14:58.000Z
https://twitter.com/bbcbangla/status/1594731722255618055,Md. Rokibul Hasan,https://twitter.com/RokibulDev,okay,2022-11-21T17:20:33.000Z
https://twitter.com/bbcbangla/status/1594677860287254529,MAHMUDUR RAHMAN,https://twitter.com/MAHMUDU69861081,আপনি কোন ধর্মে বিশ্বাসি??,2022-11-21T14:16:59.000Z
https://twitter.com/bbcbangla/status/1594625286435635202,Sania Roma,https://twitter.com/sania_roma,মনে হচ্ছে কোয়ার্টার ফাইনালে ইংল্যান্ড দল হোঁচট।,2022-11-21T10:56:40.000Z
https://twitter.com/bbcbangla/status/1594605845001773058,KOBIKONTHO,https://twitter.com/kobikontho,এ সরকার এত জনপ্রিয় যে ভোটের আগের দিন বিদ্যুৎ দাম বাড়ালেও জিতবে!!!???,2022-11-21T09:15:20.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Istiuk Ahamed,https://twitter.com/AhamedIstiuk,Love you so Much Brother  https://pic.twitter.com/hatg7r7F6S,2022-11-21T19:19:14.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Maruf hossain,https://twitter.com/Marufho52613313,"England, Nederland and Wells",2022-11-21T07:48:04.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Ashu,https://twitter.com/the_ashzz,Wales never ..,2022-11-21T08:22:37.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Mahmudul Huq Khan,https://twitter.com/MahmudulHuqKha2,"সে‌নেগাল এ‌কেবা‌রে খেলার শেষ প্রা‌ন্তে এ‌সে তা‌দের আক্রমন ঠিলা ক‌রে হে‌রে গেল দে‌খে, আমার খারাপ লে‌গে‌ছে।",2022-11-22T05:26:22.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,KD Aslam,https://twitter.com/KDAslamPro,"ইরান, সেনেগাল, ওয়েলস।",2022-11-21T10:33:50.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Saidul Saoun,https://twitter.com/SaidulSaoun,"England, senegal, wails",2022-11-21T07:42:45.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,The Fuad,https://twitter.com/FuadDhali,"ইরান
Senegal
Usa",2022-11-21T10:37:08.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Choton Barua,https://twitter.com/BaruaBarua13,"১। ইংল্যান্ড। 
২। নেদারল্যান্ড।
৩। যুক্তরাষ্ট্র।",2022-11-21T09:09:34.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,MD Ahasan Habib,https://twitter.com/habib_ahsan0,"1. England
2. Senegal
3. USA",2022-11-21T09:22:07.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Md Mojammel Hossain,https://twitter.com/MdMojam73720405,যুক্তরাষ্ট্র,2022-11-21T08:41:16.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,@@@nayeef,https://twitter.com/nayeef78574964,"iran 
senegal
wales",2022-11-21T08:35:02.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,𝐓𝐚𝐧𝐣𝐢𝐫𝐮𝐥,https://twitter.com/RealTanjirul,Iran,2022-11-21T07:08:15.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,Rashed Mia,https://twitter.com/Rashedmia371,,2022-11-22T06:36:49.000Z
https://twitter.com/bbcbangla/status/1594587710500610049,𝕬𝖒𝖟𝖆𝖉 𝕳𝖔𝖘𝖘𝖊𝖓 𝕹𝖊𝖞𝖔𝖓,https://twitter.com/ahneyon,"Ami support kori Iran kintu jitbe England.
Netherlands ar Wales",2022-11-21T07:20:07.000Z
