post_urls,post_times,post_texts,num_of_retweets,num_of_likes,num_of_comments
https://twitter.com/bbcbangla/status/1594962185029320705,2022-11-22 07:53:12+00:00,"আজ থেকে বিশ্বকাপ মিশন শুরু হচ্ছে আর্জেন্টিনার। কেমন খেলবে মনে হয়? আর আজকের বাকি ম্যাচগুলোতে কে জিতবে বলে মনে করছেন?

#FIFAWorldCup #QatarWorldCup2022",,23.0,2.0
https://twitter.com/bbcbangla/status/1594958699973726208,2022-11-22 07:39:21+00:00,রবীন্দ্রনাথের আঁকা ছবিগুলো ঠাঁই পেয়েছিল বার্লিনের একটি বিখ্যাত মিউজিয়ামে।  সেই ছবিগুলো এখন কোথায় ?,1.0,9.0,
https://twitter.com/bbcbangla/status/1594895977957437441,2022-11-22 03:30:07+00:00,রিক্টার স্কেলে ৫.৬ মাত্রার এই ভূমিকম্পটির আঘাতের কেন্দ্র ছিল ইন্দোনেশিয়ার প্রধান দ্বীপ জাভায় পশ্চিমাঞ্চলীয় শহর চিয়ানজুর,5.0,63.0,2.0
https://twitter.com/bbcbangla/status/1594731722255618055,2022-11-21 16:37:25+00:00,"জয় দিয়ে বিশ্বকাপ শুরু ইংল্যান্ডের। ৬-২ গোলে ইরানকে হারিয়েছে গ্যারেথ সাউথগেটের দল।

কাতারে ফুটবল বিশ্বকাপের ম্যাচগুলোর শিডিউল এবং লাইভ ফলাফল দেখতে পাবেন বিবিসি বাংলার এই লিঙ্কে https://bbc.in/3Gww9Lp

#FIFAWorldCup #QatarWorldCup2022",,62.0,2.0
https://twitter.com/bbcbangla/status/1594677860287254529,2022-11-21 13:03:24+00:00,কাতার বিশ্বকাপ ২০২২ উদ্বোধন করা হয়েছে কোরান তেলওয়াতের মাধ্যমে যা ফুটবলের ইতিহাসে আগে কখনও হয়নি। #FIFAWorldCup #QatarWorldCup2022,4.0,169.0,4.0
https://twitter.com/bbcbangla/status/1594655526004088833,2022-11-21 11:34:39+00:00,ফিফা বিশ্বকাপ ২০২২ এর আয়োজক দেশ কাতারের ব্যাপারে যেসব তথ্য জেনে নিতে পারেন,7.0,290.0,
https://twitter.com/bbcbangla/status/1594625286435635202,2022-11-21 09:34:29+00:00,"২০১৮ সালে রাশিয়া বিশ্বকাপে সেমিফাইনাল, এরপর ইউরো চ্যাম্পিয়নশিপের ফাইনাল, ইংল্যান্ড এবার কতদূর যাবে?
#WorldCup #WorldCupQatar2022 #England",,76.0,3.0
https://twitter.com/bbcbangla/status/1594605845001773058,2022-11-21 08:17:14+00:00,বাংলাদেশ এনার্জি রেগুলেটরি কমিশন সোমবার এই দাম বাড়ানোর ঘোষণা দিয়েছে। গ্রাহকদের ওপর কোন প্রভাব পড়বে?,5.0,84.0,7.0
https://twitter.com/bbcbangla/status/1594587710500610049,2022-11-21 07:05:10+00:00,কে জিতবে আজকের খেলায়?,31.0,,31.0
https://twitter.com/bbcbangla/status/1594366763000791040,2022-11-20 16:27:12+00:00,কেন ট্রাম্পকে ফেরানোর সিদ্ধান্ত টুইটারের। মি. ট্রাম্প কি টুইটারে ফিরতে চান?,3.0,151.0,5.0
